Company,Former / alternate names,Website,Brief Description,Company type,B2B/B2C,Protein category,Company focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State/Province (Non-U.S.),HQ City,Year founded,Founders,Company email,Parent company,Link to parent company's record,Link to subsidiary/brand,Articles in Marketing & Media,_merge,Cheese,Other dairy,Both cheese and other dairy,Neither cheese nor other dairy
endori,Amidori,https://www.endori.de/en/,"German plant-based meat company using peas. Products including alternative chicken nuggets, kebabs, burgers, and fish sticks can be purchased directly off of their online shop. They also partner with catering companies.",Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,"Meat,Seafood",End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Chicken,Beef/veal,Other fish,Pork","Pea,Wheat",Europe,Germany,Bayern,Stegaurach,2015,Friedrich Büse und Jens Wedel,info@endori.de,Pfeifer & Langen Industrie- und Handels-KG,,,,left_only,0,0,0,1
engenes,,engenes.cc,Austrian company with proprietary technology for cost-effective recombinant protein production using Escherichia coli or other bacteria.,Diversified,B2B,Fermentation-derived,Contract manufacturing/processing,"Cell line development,Host strain development,Bioprocess design",[''],Other,,Europe,Austria,,Vienna,2014,Dr. Juergen Mairhofer and Prof. Gerald Striedner,office@engenes.cc,,,,,left_only,0,0,0,1
enifer,eniferBio,https://www.eniferbio.fi/,"Finland-based company producing high-protein and cost-competitive mycoprotein ingredients for use in aquafeed, pet food and food applications.",Specialized (focused on alternative proteins),B2B,Biomass fermentation,Ingredients and inputs,"Bioprocess design,Ingredient optimization,Host strain development,Feedstocks",['Ingredients'],,Mycoprotein,Europe,Finland,,Espoo,2020,"Simo Ellilä, Joosu Kuivanen, Heikki Keskitalo, Anssi Rantasalo, and Ville Pihlajaniemi",info@enifer.com,,,,,left_only,0,0,0,1
ennolys,,https://ennolys.fr/nos-solutions/ennallin/produits-laitiers/,"Develops a wide range of natural aromatic molecules, including the vanillin. Also maker of buttery vanilla flavorings for dairy products from microbes (part of a larger business).",Diversified,B2B,Fermentation-derived,"Dairy,Ingredients and inputs","Ingredient optimization,End product formulation and manufacturing",[''],,,Europe,France,,Lesaffre,1992,,,Lesaffre,,,,left_only,0,0,0,1
enough,3F Bio,https://www.enough-food.com/,A B2B ingredient startup working on a zero waste mycoprotein production process for sustainable protein. ENOUGH grows ABUNDA mycoprotein through a zero-waste fermentation process. ,Specialized (focused on alternative proteins),B2B,Biomass fermentation,"Ingredients and inputs,Contract manufacturing/processing,Food processing infrastructure and equipment","Bioprocess design,Ingredient optimization,Feedstocks",['Ingredients'],,Mycoprotein,Europe,Scotland,,Glasgow,2015,"Craig Johnson, David Ritchie, and Jim Laird",info@enough-food.com,,,,,left_only,0,0,0,1
eppendorf,,https://www.eppendorf.com/de-de/,"A life sciences company that specializes in laboratory equipment, consumables and services, for a variety of applications, including food and beverage industry.",Diversified,B2B,"Precision fermentation,Biomass fermentation","Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Bioprocess design,Scaffolding and structure",[''],,,"Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Germany,Hamburg ,Hamburg,1945,Dr. Heinrich Netheler and Dr. Hans Hinz,vertrieb@eppendorf.de,,,,,left_only,0,0,0,1
eridia,,https://eridiabio.com/,"Scale-up, engineering and project execution service provider for all players leveraging cellular agriculture and fermentation in the food industry.",Specialized (focused on alternative proteins),B2B,"Cultivated,Biomass fermentation,Precision fermentation",Bioprocessing infrastructure and equipment,Bioprocess design,[''],,,Europe,Austria,,Vienna,2022,,,Bühler AG & ZETA GmbH (Joint Venture),Bühler,,,left_only,0,0,0,1
errigal-bay,,https://errigalbay.com/,Irish seafood processing group that is opening an oat milk production facility.,Diversified,B2B,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Oat,Rapeseed",Europe,Ireland,,Donegal,1962,,,,,,,left_only,0,0,0,1
esencia-foods,,www.esenciafoods.co/,"Building alternative meat, fish and seafood products based on mushroom mycelium.",Specialized (focused on alternative proteins),"B2C,B2B",Biomass fermentation,Seafood,"Scaffolding and structure,Bioprocess design",['Whole muscle meat/seafood'],Other fish,Mycelium,Europe,Germany,,Berlin,2022,Hendrik Kaye und Bruno Scocozza,hello@esenciafoods.co,,,,,left_only,0,0,0,1
espace-prozess-technologien,,https://www.espace-prozess.de/,"Germany-based process engineering company, specializes on developing and delivering processes for production of high protein plant ingredients. ",Diversified,B2B,Plant-based,Food processing infrastructure and equipment,Bioprocess design,[''],,,Europe,Germany,,Berlin,2006,Tatiana Ryabikova and Victor Ryabikov,info@espace-prozess.de,,,,,left_only,0,0,0,1
eternal,Kernel MycoFoods,https://www.eternal.bio/,Company commercializing a mycoprotein ingredient made from the fungus Fusarium venenatum.,Specialized (focused on alternative proteins),B2B,Biomass fermentation,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization,Bioprocess design",['Ingredients'],,Fungi,"Europe,Latin America",United Kingdom,,London,2018,"Horacio Acerbo, Lucas Gago, and Miguel Neumann",hello@eternal.bio,,,,,left_only,0,0,0,1
eth-zurich-sustainable-food-processing,,https://sfp.ethz.ch/research.html,,Specialized (focused on alternative proteins),,Plant-based,Contract manufacturing/processing,,[''],,,Europe,Switzerland,,,,,,,,,,left_only,0,0,0,1
eu-commission,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
euroduna-food-ingredients,,http://www.euroduna-food.com/en/,Distributor of ingredients to the food industry and one of the major importers of soy proteins in Germany.,Diversified,B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Ingredients'],,"Soy,Pea,Wheat,Tapioca,Rice,Whey,Almond,Hemp","United States and Canada,Europe,Asia Pacific",Germany,,Barmstedt,2000,,food@euroduna.com,Euroduna,,,,left_only,0,0,0,1
ev-biotech,,https://evbio.tech/,"Netherlands-based startup that integrates AI and strain development to enable the production of food ingredients, flavors, and fragrances sustainably by fermentation.",Diversified,B2B,Precision fermentation,Ingredients and inputs,"Ingredient optimization,Host strain development",['Ingredients'],,,Europe,Netherlands,,Groningen,2018,Linda Dijkshoorn and Agnieszka Węgrzyn,info@evbio.tech,,,,,left_only,0,0,0,1
everland,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
evlogimeno,,https://www.evlogimeno.com/evlogimeno-en/,Plant-based cheese company based in Greece. ,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,"['Cheese', 'Milk']",,"Coconut,Potato,Tapioca,Almond",Europe,Greece,Keffasia,Thessaloniki,2008,,evlogimeno@familyfood.gr,,,,,left_only,1,0,0,0
evoluter,,https://evolutor.bio,U.K.-based company utilizing propriety bioreactor platform and biological toolset to develop microbial production hosts ,Diversified,B2B,Precision fermentation,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Host strain development,Bioprocess design",[''],,,Europe,United Kingdom,,Sheffield ,2021,Joe Price,,,,,,left_only,0,0,0,1
evolution-meats,Green Meat Products,https://www.evolutionmeats.com/,"Maker of plant-based kebabs, shawarma, gyros, satay, and sausages.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Beef/veal,Pork,Chicken","Soy,Wheat,Rice,White bean",Europe,Netherlands,,Putten,2019,Andre Storteboom and Dennis Smith,info@evolutionmeats.com,,,,,left_only,0,0,0,1
evolva,,https://www.evolva.com/,Produces natural ingredients using genetically modified baker's yeast (no current animal products) (part of a larger business) Also  provide tailored services to clients across industries.,Diversified,B2B,Fermentation-derived,Ingredients and inputs,Ingredient optimization,['Other'],,,"Europe,United States and Canada",Switzerland,,,2004,Oliver P. Walker,info@evolva.com,,,,,left_only,0,0,0,1
evonik-health-care,,https://corporate.evonik.com/en,"Nutrition focused branch of Evonik, a global chemical manufacturing company. ",Diversified,B2B,"Precision fermentation,Biomass fermentation","Ingredients and inputs,Contract manufacturing/processing","Bioprocess design,Cell culture media,Ingredient optimization","['Other', 'Ingredients', 'Oils and fats']",,Omega-3 ,"United States and Canada,Europe,Asia Pacific",Germany,,Essen,2007,,,Evonik,,,,left_only,0,0,0,1
ex-seed,,http://ex-seed.eu/,Bulgarian startup extracting sunflower protein from oil production residues.,Specialized (focused on alternative proteins),B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Ingredients'],,Sunflower,Europe,Bulgaria,,Sofia,2022,Boyan Zahariev,office@ex-seed.eu,,,,,left_only,0,0,0,1
extracellular,,www.extracellular.com,A CDMO providing scale-up and development services for cultivated meat companies.,Specialized (focused on alternative proteins),B2B,Cultivated,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Bioprocess design,Cell culture media,Cell line development",[''],,,Europe,United Kingdom,,Bristol,2022,Will Milligan,hello@extracellular.com,,,,,left_only,0,0,0,1
extractis,,https://extractis.com/en/extractis-plant-extraction/,,Diversified,,Plant-based,Contract manufacturing/processing,,[''],,,Europe,France,,,1984,,,,,,,left_only,0,0,0,1
fabas,,https://www.fabas.ch/,"Fabas offers a broad variety of bean-based products, from hummus and burgers to ingredients for the processing industry. ",Diversified,B2B,Plant-based,"Ingredients and inputs,Meat,Dairy","End product formulation and manufacturing,Ingredient optimization,Crop development","['Ingredients', 'Ground meat/seafood']",Other,"Pea,Chickpea,Fava bean",Europe,Switzerland,,Zürich,2021,Anik Thaler,hallo@fabas.ch,Emmi Group,,,,left_only,0,0,0,1
faerm,FÆRM,http://www.Faerm.dk,Danish company that specializes in developing plant-based cheese alternatives using innovative technology inspired by traditional dairy production methods.,Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,"End product formulation and manufacturing,Ingredient optimization",['Cheese'],,,Europe,Denmark,,Copenhagen,2020,"Andrea Donau, Mikkel Lau Dupont, and Astrid Bonke",info@faerm.dk,,,,,left_only,1,0,0,0
fairmischt,,https://fairmischt.de/,"A German start-up that produces a 100% organic oat drink concentrate. The drink was developed in partnership with the Food Institute at Ostwestfalen-Lippe, a technical university in Lemgo. ",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,Oat,Europe,Germany,North Rhine-Westphalia,Wuppertal,2022,"Melissa und Dimitri Petersen, Mario Fluck ",,,,,,left_only,0,0,0,1
farm-dairy,,https://farmdairy.com/en,Dutch dairy company planning to enter the plant-based dairy market.,Diversified,B2B,Plant-based,Dairy,End product formulation and manufacturing,"['Milk', 'Other dairy']",,"Oat,Soy",Europe,Netherlands,,Lelystad,1999,,,,,,,left_only,0,1,0,0
farmless,,https://farmless.com/,"Netherlands-based company using fermentation to produce low-cost proteins using a production process that isn’t reliant on sugar but rather on a liquid feedstock made with CO2, hydrogen, and renewable energy.",Specialized (focused on alternative proteins),B2B,Biomass fermentation,Ingredients and inputs,"Bioprocess design,Ingredient optimization,Feedstocks",['Ingredients'],,CO2,Europe,Netherlands,,Amsterdam,2022,Adnan Oner,,,,,,left_only,0,0,0,1
fattoria-della-mandorla,,https://fattoriadellamandorla.it/,Plant-based company specialised in almond-based products (cheese and spreads).,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,"['Cheese', 'Other dairy']",,Almond,Europe,Italy,Bari,Toritto,1983,,ordini@fattoriadellamandorla.it,,,,,left_only,1,1,1,0
faux-gras-de-gaia,,https://www.fauxgras.be/,Belgian company that produces plant-based Foie gras.,Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],"Duck,Other",Yeast,Europe,Belgium,,Brussles,1992,,info@gaia.be,GAIA,Gaia Foods,,,left_only,0,0,0,1
fazer,,https://www.fazer.com,Global food manufacturer offering a range of plant-based products.,Diversified,"B2B,B2C",Plant-based,"Ingredients and inputs,Dairy","Ingredient optimization,End product formulation and manufacturing","['Other dairy', 'Milk']",,"Oat,Pea",Europe,Finland,,Helsinki,1891,Karl Fazer,info@fazer.com,,,,,left_only,0,1,0,0
felsineoveg,Veghiamo,https://www.felsineoveg.com/,"Italian producer of plant-based cold cuts, cubed meat, and burgers. ",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Other meat/seafood', 'Ground meat/seafood']","Beef/veal,Pork,Chicken,Other fish,Turkey","Chickpea,Wheat,Lupine,Pea",Europe,Italy,,Zola Predosa,2016,,info@felsineoveg.com,Felsineo Group,,,,left_only,0,0,0,1
fenty,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
ferm-food,,https://ferm-food.com/,Danish producer of lacto fermented plant protein for the food industry.,Specialized (focused on alternative proteins),B2B,"Plant-based,Fermentation-derived",Ingredients and inputs,Ingredient optimization,['Ingredients'],,"Fava bean,Mushrooms,Seaweed,Beetroot ,Rye,Oat,Rapeseed",Europe,Denmark,,Bække,2019,Jens Legarth,,Fermentationexperts,,,,left_only,0,0,0,1
fermaggio,,https://www.fermaggio.it/,Plant-based cheese company using traditional fermentation.,Specialized (focused on alternative proteins),"B2B,B2C","Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,['Cheese'],,"Cashew,Almond",Europe,Italy,Rome,Cave,2018,Manfredi and Timoteo Rondina,info@fermaggio.it,,,,,left_only,1,0,0,0
fermentalg,,https://www.fermentalg.com/,"Engaged in the production of micro-algae for the agrifood, healthcare and energy markets. For the alternative protein space, they produce micro-algae for plant-based foods and fish meal",Diversified,B2B,Fermentation-derived,Ingredients and inputs,Ingredient optimization,['Other'],,"Algae,Microalgae",Europe,France,,Libourne,2014,Philippe Lavielle,contact@fermentalg.com,,,,,left_only,0,0,0,1
fermentia,,www.fermentia.hu,,Diversified,,Fermentation-derived,Contract manufacturing/processing,,[''],,,Europe,Hungary,,Budapest,2006,,info@fermentia.hu,,,,,left_only,0,0,0,1
fermento-vegano,,https://fermentovegano.eu/,Spain-based company producing plant-based cheese,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Cashew,Europe,Spain,,Barcelona,2018,Ingrid Tance,fermento.vegano@gmail.com,,,,,left_only,1,0,0,0
fermify,,https://www.fermify.org/,"Austrian precision fermentation company providing an automated production platform for animal-free casein production, using a continuous bioprocess.",Specialized (focused on alternative proteins),B2C,Precision fermentation,"Dairy,Bioprocessing infrastructure and equipment",Bioprocess design,['Milk'],,Casein,Europe,Austria,,Vienna,2021,Eva Sommer and Christoph Herwig,hello@fermify.org,,,,,left_only,0,0,0,1
fermtech,,www.fermtech.co.uk,Oxford-based precision fermentation technology company improving yields and reducing costs of protein production. ,Specialized (focused on alternative proteins),B2B,Precision fermentation,Ingredients and inputs,Ingredient optimization,['Ingredients'],,,Europe,United Kingdom,,Oxford,2022,Andy Clayton,andy@fermtech.co.uk,,,,,left_only,0,0,0,1
fervena,,https://www.fervena.com/,Netherlands-based company making plant-based cheeses.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,"Cashew,Coconut",Europe,Netherlands,,The Hague,2020,Venetka Agayn,info@fervena.com,Innoso,,,,left_only,1,0,0,0
fft,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
fiapo,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
filgud,,https://filgud.ro/,Romanian producer of plant-based dairy and cheeses. ,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,"['Cheese', 'Other dairy', 'Milk']",,Cashew,Europe,Romania,,Bucharest,2019,Andrei Roșu,,,,,,left_only,1,1,1,0
finnebrogue,,https://www.finnebrogue.com/,"UK-based artisanal food producer manufacturing meat alternatives such as breaded nuggets and battered goujons, chunks, burgers, mince and sausages.",Diversified,B2C,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"['Other meat/seafood', 'Whole muscle meat/seafood']","Pork,Other fish,Beef/veal","Pea,Soy,Mushrooms",Europe,Ireland,"County Down, Northern Ireland",,1996,Denis Lynn,hello@finnebrogue.com,,,,,left_only,0,0,0,1
finnish-food-factory,,https://finnishfoodfactory.fi/,Finland-based contract manufacturer specialising in plant-based dairy.,Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,"['Milk', 'Other dairy']",,"Oat,Pea",Europe,Finland,,Kouvola,2021,,info@finff.fi,,,,,left_only,0,1,0,0
finsbraten,,https://www.finsbraten.no/,"Norwegian meat company, produces both animal- and plant-based meats",Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,[''],,,Europe,Norway,,Eidsvoll,1951,"Osvald, Frank, and Kåre Finsbråten",,,,,,left_only,0,0,0,1
fioravanti,,http://www.fioravantisrl.com/,Italian food company with an offering of veggie nuggets.,Diversified,"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,['Other meat/seafood'],,,Europe,Italy,,Ancarano,1989,,commerciale@fioravantisrl.com,,,,,left_only,0,0,0,1
fish-peas,F’SH PEAS,https://fishpeas.com/,"Line of plant-based seafood products created by conventional seafood company, Karavela",Specialized (focused on alternative proteins),B2C,Plant-based,Seafood,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Other fish,Tuna","Pea,Wheat",Europe,Latvia,,Riga,2021,,info@fishpeas.com,Karavela,,,,left_only,0,0,0,1
fishway,,https://www.fishway.fish/,"Belgian company producing cultivated seafood.
",Specialized (focused on alternative proteins),B2B,Cultivated,"Seafood,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization",['Ingredients'],Other fish,,Europe,Belgium,Flemish Region,Heverlee,2022,Nina Coolsaet and Sam van de Welde,info@fishway.fish,,,,,left_only,0,0,0,1
flora,Upfield,https://www.florafoodgroup.com/company/our-brands,"Netherlands-based conglomerate of brands, most of which produce plant-based dips and spreads. Plant-based butter brands include BlueBand, Violife, Country Crock, ProActiv, Becel, and Flora. ",Diversified,"B2C,B2B",Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,,"Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Netherlands,,Amsterdam,1871,,,,,Violife,1.0,both,0,1,0,0
flottweg,,www.flottweg.com,"Manufacturer of single separation equipment (centrifuges) and complete production lines. Application areas in alternative protein extraction from plant material, spent grain, algae, fungi, yeast, fermentation broth.",Diversified,B2B,"Plant-based,Fermentation-derived,Traditional fermentation,Biomass fermentation,Precision fermentation,Plant molecular farming","Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Feedstocks,Ingredient optimization,Bioprocess design",[''],,,"Africa/Middle East,Asia Pacific,Australia/New Zealand,Europe,Latin America,United States and Canada",Germany,Bavaria,Vilsbiburg,1943,Dr. Georg Bruckmayer,mail@flottweg.com,,,,,left_only,0,0,0,1
flowfood,,http://www.flowfood.no/,"Produces plant-based meats including mince, burgers, and meatballs.",Specialized (focused on alternative proteins),B2B,Plant-based,"Meat,Contract manufacturing/processing",End product formulation and manufacturing,['Ground meat/seafood'],"Beef/veal,Chicken","Pea,White bean",Europe,Norway,,Trondheim,2016,Christer Heimtoft,info@flowfood.no,,,,,left_only,0,0,0,1
foldchanges,,https://www.foldchanges.com/,Netherlands-based computational biology and machine learning platform focused on cellular agriculture.,Specialized (focused on alternative proteins),B2B,Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Crop development",['Other'],,,Europe,Netherlands,,The Hague,2021,Nico Kist,,,,,,left_only,0,0,0,1
food-brewer,,www.foodbrewer.com,Swiss company focused on plant cell cultivation. The cells are harvested to make sustainable fats that can be used in alternative proteins.,Diversified,B2B,Cultivated,Ingredients and inputs,"Cell line development,Ingredient optimization","['Ingredients', 'Oils and fats']",,,Europe,Switzerland,,Horgen,2021,"Christian Schaub, Corinne John, Stefan Bingisser, Geraldine Gubser, Yannick Senn, and Klaus Kienle",contact@foodbrewer.com,,,,,left_only,0,0,0,1
food-harbour,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
food-heaven,,https://www.lovefoodheaven.com/,"UK-based producer of various plant-based dairy products including ice cream, whipped cream, and creamer.",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,"Soy,Palm",Europe,United Kingdom,,Crewe,2013,,info@fayrefield.com,Fayrefield Foods,,,,left_only,0,1,0,0
food-novelties,,https://foodnovelties.com/,Greece-based company developing cultivated meat for food inspired by Greek and Mediterranean flavors.,Specialized (focused on alternative proteins),B2B,Cultivated,Meat,End product formulation and manufacturing,[''],,,Europe,Greece,,Athens,2023,,info@foodnovelties.com,,,,,left_only,0,0,0,1
fooditive-group,,https://www.fooditivegroup.com/,Netherlands-based company that produces dairy proteins and plant-based sweeteners likely through precision fermentation.,Diversified,B2B,Precision fermentation,Ingredients and inputs,Ingredient optimization,"['Ingredients', 'Oils and fats']",,"Pea,Casein",Europe,Netherlands,,Rotterdam,2018,Moayad Abushokhedim,info@fooditivegroup.com,,,,,left_only,0,0,0,1
foods-united-inc,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
foodsquared,,https://www.foodsquared.earth/,"UK-based company creating whole-cut plant-based seafood, primarily shrimp and shellfish.",Specialized (focused on alternative proteins),B2B,Plant-based,Seafood,End product formulation and manufacturing,['Whole muscle meat/seafood'],"Other shellfish,Shrimp",,Europe,United Kingdom,,Cambridge,2021,"Frankie Fox, Wesley Yland, and Abi Aspen Glencross",hello@foodsquared.earth,,,,,left_only,0,0,0,1
foodys,Brotalia,https://www.somosfoodys.com/,"Spain-based company that produces plant-based meat products, including burger patties under the brand ""Anti-Burger""",Specialized (focused on alternative proteins),B2C,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Beef/veal,Chicken,Other fish,Pork",Pea,Europe,Spain,,Navarra,2020,,,,,,,left_only,0,0,0,1
footprint-coalition,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
forbes,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
forest-green-rovers,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
forma-veg,,https://formaveg.com/,Producer of plant-based cheese,Specialized (focused on alternative proteins),B2C,"Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,['Cheese'],,"Cashew,Almond",Europe,Italy,Tuscany,Livorno,2010,,info@formaveg.com,,,,,left_only,1,0,0,0
formo,,https://formo.bio/,Startup working on producing milk proteins for dairy products with microbes.,Specialized (focused on alternative proteins),B2C,Precision fermentation,Dairy,"Target molecule selection,End product formulation and manufacturing",['Cheese'],,Fungi,Europe,Germany,,Berlin,2018,Raffael Wohlgensinger,hello@formo.bio,,,,,left_only,1,0,0,0
fourstrain-labs,,www.fourstrain.com,"Fourstrain is a biotechnology company specialized in the production of recombinant proteins through precision fermentation. Focused on sustainability and innovation, Fourstrain develops high-value functional proteins such as beta-lactoglobulin for use in the food, pharmaceutical, and cosmetic industries. Our mission is to provide sustainable, animal-free protein solutions to meet the growing demand for healthier and more ethical ingredients.",Diversified,B2B,Precision fermentation,Dairy,"End product formulation and manufacturing,Ingredient optimization","['Other', 'Ingredients']",,Whey,Europe,Spain,Asturias,Gijón,2024,,ruben.olmeda@fourstrain.com,,,,,left_only,0,0,0,1
framptons,,https://www.framptons.com/,"UK-based manufacturer of oat milk and other plant-based drinks for major brands, startups and most UK retailers, as well as its own brand The Wessex Oat Company.",Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,"['Milk', 'Other dairy']",,"Oat,Soy,Coconut",Europe,United Kingdom,,Shepton Mallet,1968,,,Profura,,,,left_only,0,1,0,0
fraunhofer-institute-for-process-engineering-and-packaging,,https://www.ivv.fraunhofer.de/en/food/development.html#1.ex,,Diversified,,Plant-based,Contract manufacturing/processing,,[''],,,Europe,Germany,,,2012,,,,,,,left_only,0,0,0,1
fredag,,https://fredag.ch/de,Swiss conventional meat company that also produces plant-based options. ,Diversified,B2C,Plant-based,"Meat,Eggs",End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood', 'Eggs']",,,Europe,Switzerland,,Root,1986,,info@fredag.ch,ORIOR Group,,,,left_only,0,0,0,1
free-and-easy,,https://www.healthyfoodbrands.co.uk/free-easy,"UK-based brand of various plant-based foods, including plant-based mixes for egg replacement, gravy, and cheese sauce. ",Diversified,B2C,Plant-based,"Eggs,Dairy",End product formulation and manufacturing,"['Cheese', 'Eggs']",,,Europe,United Kingdom,,Billingshurst,2006,,,,,,,left_only,1,0,0,0
frias,,https://frias.es/,"Family company dedicated to plant-based products, currently focused mostly on milk. ",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Almond,Oat,Soy",Europe,Spain,Castile and León,Burgos,1919,,friasnutricion@frias.es,,,,,left_only,0,0,0,1
frida-rome,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
frieslandcampina,,https://www.frieslandcampina.com/,"Dutch multinational dairy cooperative that has launched plant-based milks. In 2023, launched plant-based chicken brand Tender'lish. ",Diversified,"B2C,B2B",Plant-based,"Dairy,Meat",End product formulation and manufacturing,"['Milk', 'Ground meat/seafood']",,"Oat,Soy,Wheat,Pea",Europe,Netherlands,,Amersfoort,2008,,,,,Tender'lish,,left_only,0,0,0,1
friky,,http://frikymilk.ru/,"Russian company producing plant-based dairy alternatives, including cheeses and sweets.",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,"['Cheese', 'Other dairy', 'Other']",,"Soy,Coconut","Europe,Asia Pacific",Russia,,Moscow,2016,,friky.milk@gmail.com,,,,,left_only,1,1,1,0
frys-family-foods,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
fudzs,,https://fudzs.com/,Paris-based cultivated meat producer.,Specialized (focused on alternative proteins),B2B,Cultivated,Meat,"End product formulation and manufacturing,Bioprocess design",[''],,,Europe,France,,Rouen,2022,"Zied Souguir, Aude Planche, Gregory Maubon",brian@fudzs.com,,,,,left_only,0,0,0,1
fundacion-veg-formerly-vegetarianos-hoy,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
funki,Funki Foods,https://www.funki.ee/,Estonian producer of mycoprotein-based meat alternative. ,Specialized (focused on alternative proteins),B2C,"Plant-based,Biomass fermentation",Meat,End product formulation and manufacturing,"['Other meat/seafood', 'Whole muscle meat/seafood']",,"Mycoprotein,Mycelium",Europe,Estonia,,Tallinn,2022,Sirli Rosenvald,info@funki.ee,,,,,left_only,0,0,0,1
future-eating-feat,,https://www.futureating.it,Future Eating Research Group is particularly focused on cellular agriculture and alternative proteins,Specialized (focused on alternative proteins),,Cultivated,"Meat,Dairy,Seafood,Eggs","Cell culture media,Ingredient optimization",['Other'],Other,,Europe,Italy,Piedmont,Turin,2023,Luca Lo Sapio,futureating@unito.it,,,,,left_only,0,0,0,1
future-farm-fazenda-futuro,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
future-food-tech,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
futurevvorld,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
gaias-farming-co,,www.gaiasfarming.co,London based company processing hemp for the food & beverage sector. Consumer Facing. Focus on dairy-alternatives.,Diversified,"B2C,B2B",Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Ingredient optimization,Bioprocess design","['Oils and fats', 'Milk']",,"Hemp,Oat,Coconut",Europe,United Kingdom,,London,2020,Michael Kyriakou,,,,,,left_only,0,0,0,1
